model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveLaplaceNB,Breast Cancer,0.003375916974619031,0.0016034169821068645,0.001465874956920743,0.0
AdaptiveLaplaceNB,Credit-G,0.012715082964859903,0.005025333957746625,0.007494084071367979,0.0
AdaptiveLaplaceNB,Phoneme,0.03304537502117455,0.02167899999767542,0.011008832952938974,0.0
AdaptiveLaplaceNB,Vehicle,0.015114250010810792,0.0032427499536424875,0.011593625065870583,0.0
AdaptiveLaplaceNB,Glass,0.0036606669891625643,0.0012257921043783426,0.002227958058938384,0.0
AdaptiveNoiseScaledGradientClassifier,Iris,0.2384707919554785,0.23798929201439023,0.00026041700039058924,0.0
AdaptiveNoiseScaledGradientClassifier,Breast Cancer,0.24651287496089935,0.2451479999581352,0.00039970793295651674,0.0
AdaptiveNoiseScaledGradientClassifier,Credit-G,0.25524108309764415,0.2547533750766888,0.00026229198556393385,0.0
AdaptiveNoiseScaledGradientClassifier,Phoneme,0.2788278340594843,0.27604987495578825,0.0014587920159101486,0.0
AdaptiveNoiseScaledGradientClassifier,Vehicle,0.3380112500162795,0.3368082499364391,0.0010042920475825667,0.0
AdaptiveNoiseScaledGradientClassifier,Glass,0.40778791706543416,0.40726037498097867,0.00018429197371006012,0.0
AdaptivePruningClassifier,Iris,0.06413670792244375,0.06382158293854445,9.841693099588156e-05,0.0
AdaptivePruningClassifier,Breast Cancer,0.22944687504786998,0.22873170801904052,0.0004942499799653888,0.0
AdaptivePruningClassifier,Credit-G,0.3672001250088215,0.36672566703055054,0.0001728750066831708,0.0
AdaptivePruningClassifier,Phoneme,0.6478549999883398,0.6465740000130609,0.0007531670853495598,0.0
AdaptivePruningClassifier,Vehicle,1.4692428749985993,1.4683547080494463,0.0006543750641867518,0.0
AdaptivePruningClassifier,Glass,0.6281950420234352,0.6278560829814523,0.00013070902787148952,0.0
AdditiveEnsembleCentroidClassifier,Iris,0.0042950420174747705,0.0007205000147223473,0.0033830839674919844,0.0
AdditiveEnsembleCentroidClassifier,Breast Cancer,0.005024874932132661,0.0017187079647555947,0.0030231670243665576,0.0
AdditiveEnsembleCentroidClassifier,Credit-G,0.0058847920736297965,0.0026482499670237303,0.0029999170219525695,0.0
AdditiveEnsembleCentroidClassifier,Phoneme,0.009143417002633214,0.0034422919852659106,0.005390208098106086,0.0
AdditiveEnsembleCentroidClassifier,Vehicle,0.01013774995226413,0.003952999948523939,0.005978124914690852,0.0
AdditiveEnsembleCentroidClassifier,Glass,0.00896945793647319,0.0012094590347260237,0.0075722080655395985,0.0
AdditiveRidgeSegmentClassifier,Iris,0.00507299997843802,0.004338708007708192,0.0005077499663457274,0.0
AdditiveRidgeSegmentClassifier,Breast Cancer,0.017976957955397666,0.01604633405804634,0.0017114169895648956,0.0
AdditiveRidgeSegmentClassifier,Credit-G,0.019032708019949496,0.017827000003308058,0.0009952500695362687,0.0
AdditiveRidgeSegmentClassifier,Phoneme,0.020716416998766363,0.01648991706315428,0.003952958039008081,0.0
AdditiveRidgeSegmentClassifier,Vehicle,0.08570804202463478,0.07975933409761637,0.0057007079012691975,0.0
AdditiveRidgeSegmentClassifier,Glass,0.018547833082266152,0.016689416952431202,0.001678875065408647,0.0
BetaBernoulliClassifier,Iris,0.0005235410062596202,0.0002316669560968876,9.433296509087086e-05,0.0
BetaBernoulliClassifier,Breast Cancer,0.0007956669433042407,0.00026174995582550764,0.00029670901130884886,0.0
BetaBernoulliClassifier,Credit-G,0.0010865830117836595,0.00043474999256432056,0.0004486669786274433,0.0
BetaBernoulliClassifier,Phoneme,0.002094250055961311,0.00083687505684793,0.0008898749947547913,0.0
BetaBernoulliClassifier,Vehicle,0.0013350830413401127,0.0004443750949576497,0.0006810830673202872,0.0
BetaBernoulliClassifier,Glass,0.0007829589303582907,0.000476666959002614,0.00012383295688778162,0.0
BiasVarianceMultinomialClassifier,Iris,0.006371374940499663,0.005977791966870427,0.0001665409654378891,0.0
BiasVarianceMultinomialClassifier,Breast Cancer,0.009280542028136551,0.008718458004295826,0.00029866606928408146,0.0
BiasVarianceMultinomialClassifier,Credit-G,0.02065029100049287,0.020022541983053088,0.00035933300387114286,0.0
BiasVarianceMultinomialClassifier,Phoneme,0.015541667002253234,0.01407508400734514,0.0010299170389771461,0.0
