model,dataset,total_s,fit_s,pred_s,timed_out
AdaptiveKNNClassifier,Breast Cancer,0.016116084065288305,0.004701666068285704,0.011181042063981295,0.0
AdaptiveKNNClassifier,Credit-G,0.0420542499050498,0.02054099994711578,0.02128116600215435,0.0
AdaptiveKNNClassifier,Phoneme,0.14283962501212955,0.027655833051539958,0.11484720802400261,0.0
AdaptiveKNNClassifier,Vehicle,0.009732292033731937,0.003099458059296012,0.006371083087287843,0.0
AdaptiveKNNClassifier,Glass,0.004907916998490691,0.0009542920161038637,0.0036806249991059303,0.0
AdaptiveRadiusBoostingClassifier,Iris,0.032704624929465353,0.025486707920208573,0.006955959019251168,0.0
AdaptiveRadiusBoostingClassifier,Breast Cancer,0.08686275000218302,0.07162495795637369,0.0149642089381814,0.0
AdaptiveRadiusBoostingClassifier,Credit-G,5.584507624967955,3.360135457944125,2.2240933750290424,0.0
AdaptiveRadiusBoostingClassifier,Phoneme,83.56295258400496,81.48361849994399,2.0785295829409733,0.0
AdaptiveRadiusBoostingClassifier,Vehicle,3.6453999580116943,2.152841833070852,1.4923300839727744,0.0
AdaptiveRadiusBoostingClassifier,Glass,0.04197474999818951,0.03231999999843538,0.009386416990309954,0.0
AdaptiveResidualLearningClassifier,Iris,1.653218041989021,1.6345881250454113,0.018403207999654114,0.0
AdaptiveResidualLearningClassifier,Breast Cancer,8.143168749986216,7.728284624987282,0.4146175829228014,0.0
AdaptiveResidualLearningClassifier,Credit-G,25.973450500052422,25.234906083904207,0.7382902500685304,0.0
AdaptiveResidualLearningClassifier,Phoneme,58.952670208062045,58.06412916700356,0.8881442500278354,0.0
AdaptiveResidualLearningClassifier,Vehicle,62.99923062499147,62.946429542033,0.05258174997288734,0.0
AdaptiveResidualLearningClassifier,Glass,31.433494541910477,29.59096295805648,1.8423045000527054,0.0
AdaptiveSubspaceForestClassifier,Iris,2.734277500072494,2.6755327089922503,0.058531375019811094,0.0
AdaptiveSubspaceForestClassifier,Breast Cancer,5.741090499912389,5.564506666967645,0.17631058394908905,0.0
AdaptiveSubspaceForestClassifier,Credit-G,5.563884750008583,5.213091415935196,0.3505261249374598,0.0
AdaptiveSubspaceForestClassifier,Phoneme,5.069427042035386,5.0320714169647545,0.0370595830027014,0.0
AdaptiveSubspaceForestClassifier,Vehicle,4.497697832994163,4.450273667112924,0.04720054101198912,0.0
AdaptiveSubspaceForestClassifier,Glass,0.12295333296060562,0.11781675007659942,0.004913999931886792,0.0
BaggedRandomKernelSVM,Iris,0.016384874936193228,0.012136208009906113,0.004055334022268653,0.0
BaggedRandomKernelSVM,Breast Cancer,0.029372457996942103,0.021675540949217975,0.007490333984605968,0.0
BaggedRandomKernelSVM,Credit-G,0.13681058294605464,0.09687500004656613,0.03969862498342991,0.0
BaggedRandomKernelSVM,Phoneme,2.3034522919915617,1.4911415838869289,0.8116862080059946,0.0
BaggedRandomKernelSVM,Vehicle,0.13643024989869446,0.1022194999968633,0.03395716694649309,0.0
BaggedRandomKernelSVM,Glass,0.01890970894601196,0.015190916019491851,0.003546625026501715,0.0
BoostedKNNClassifier,Iris,0.017595042008906603,0.013957457966171205,0.003438584040850401,0.0
BoostedKNNClassifier,Breast Cancer,1.5454261660343036,1.18449374998454,0.36066174996085465,0.0
BoostedKNNClassifier,Credit-G,2.5467857921030372,2.036605375004001,0.5098627909319475,0.0
BoostedKNNClassifier,Phoneme,21.577609042054974,15.697339916951023,5.879682624945417,0.0
BoostedKNNClassifier,Vehicle,2.059069124981761,1.5771180000156164,0.4817406249931082,0.0
BoostedKNNClassifier,Glass,0.23998787498567253,0.17118895798921585,0.06853579205926508,0.0
